0x00680300,0x00680320,0x006803e0,0x00680460,0x00680490,0x00680680,0x006807e0,0x006808a0,0x00680940,0x006809c0,0x00680b30,0x00680ba0,0x00680c10,0x00680c30,0x00680c50,0x00680c80,0x00680cf0,0x00680d90,0x00680dd0,0x00680e30
0x00680300 FUN_00680300
0x00680320 FUN_00680320
0x006803e0 FUN_006803e0
0x00680460 FUN_00680460
0x00680490 FUN_00680490
0x00680680 FUN_00680680
0x006807e0 FUN_006807e0
0x006808a0 FUN_006808a0
0x00680940 FUN_00680940
0x006809c0 FUN_006809c0
0x00680b30 FUN_00680b30
0x00680ba0 FUN_00680ba0
0x00680c10 FUN_00680c10
0x00680c30 FUN_00680c30
0x00680c50 FUN_00680c50
0x00680c80 FUN_00680c80
0x00680cf0 FUN_00680cf0
0x00680d90 FUN_00680d90
0x00680dd0 FUN_00680dd0
0x00680e30 FUN_00680e30
