0x0081e200,0x0081e330,0x0081e500,0x0081e5f0,0x0081e650,0x0081e700,0x0081e73a,0x0081e9c0,0x0081f2b0,0x0081f2f0,0x0081f380,0x0081fbe0,0x008207d0,0x00820830,0x00820910,0x008209c0,0x00820ba0,0x00821570,0x00821650,0x00821850
0x0081e200 FUN_0081e200
0x0081e330 FUN_0081e330
0x0081e500 FUN_0081e500
0x0081e5f0 FUN_0081e5f0
0x0081e650 FUN_0081e650
0x0081e700 FUN_0081e700
0x0081e73a FUN_0081e73a
0x0081e9c0 FUN_0081e9c0
0x0081f2b0 FUN_0081f2b0
0x0081f2f0 FUN_0081f2f0
0x0081f380 FUN_0081f380
0x0081fbe0 FUN_0081fbe0
0x008207d0 FUN_008207d0
0x00820830 FUN_00820830
0x00820910 FUN_00820910
0x008209c0 FUN_008209c0
0x00820ba0 FUN_00820ba0
0x00821570 FUN_00821570
0x00821650 FUN_00821650
0x00821850 FUN_00821850
