0x00977de0,0x00977f30,0x00977fa0,0x00978080,0x009780c0,0x009784f0,0x009788b0,0x00978990,0x00978aa0,0x00978b80,0x009791c0,0x00979290,0x00979310,0x00979d80,0x0097a030,0x0097a120,0x0097a290,0x0097a2d0,0x0097a6f0,0x0097a8a0
0x00977de0 FUN_00977de0
0x00977f30 FUN_00977f30
0x00977fa0 FUN_00977fa0
0x00978080 FUN_00978080
0x009780c0 FUN_009780c0
0x009784f0 FUN_009784f0
0x009788b0 FUN_009788b0
0x00978990 FUN_00978990
0x00978aa0 FUN_00978aa0
0x00978b80 FUN_00978b80
0x009791c0 FUN_009791c0
0x00979290 FUN_00979290
0x00979310 FUN_00979310
0x00979d80 FUN_00979d80
0x0097a030 FUN_0097a030
0x0097a120 FUN_0097a120
0x0097a290 FUN_0097a290
0x0097a2d0 FUN_0097a2d0
0x0097a6f0 FUN_0097a6f0
0x0097a8a0 FUN_0097a8a0
