0x0097a8e0,0x0097aa60,0x0097ae30,0x0097af10,0x0097af80,0x0097b000,0x0097b510,0x0097b540,0x0097c560,0x0097c720,0x0097c820,0x0097cb60,0x0097ce20,0x0097df90,0x0097e230,0x0097fee0,0x0097ffa0,0x009800a0,0x00980160,0x00980250
0x0097a8e0 FUN_0097a8e0
0x0097aa60 FUN_0097aa60
0x0097ae30 FUN_0097ae30
0x0097af10 FUN_0097af10
0x0097af80 FUN_0097af80
0x0097b000 FUN_0097b000
0x0097b510 FUN_0097b510
0x0097b540 FUN_0097b540
0x0097c560 FUN_0097c560
0x0097c720 FUN_0097c720
0x0097c820 FUN_0097c820
0x0097cb60 FUN_0097cb60
0x0097ce20 FUN_0097ce20
0x0097df90 FUN_0097df90
0x0097e230 FUN_0097e230
0x0097fee0 FUN_0097fee0
0x0097ffa0 FUN_0097ffa0
0x009800a0 FUN_009800a0
0x00980160 FUN_00980160
0x00980250 FUN_00980250
